Apple Id Number,Apple Music Subscription,Artist Name,Build Version,Client IP Address,Content Name,Content Provider,Content Specific Type,Device Identifier,End Position In Milliseconds,End Reason Type,Event End Timestamp,Event Reason Hint Type,Event Received Timestamp,Event Start Timestamp,Event Type,Feature Name,Genre,Item Type,Media Duration In Milliseconds,Media Type,Metrics Bucket Id,Metrics Client Id,Milliseconds Since Play,Offline,Play Duration Milliseconds,Source Type,Start Position In Milliseconds,Store Country Name,UTC Offset In Seconds
296982057,TRUE,"Jax Jones, Bebe Rexha","AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Harder,UMG Global,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,160333.0,NATURAL_END_OF_TRACK,2021-01-18T13:07:45.168Z,NOT_SPECIFIED,2021-01-18T13:07:45.720Z,2021-01-18T13:05:04.835Z,PLAY_END,siri,Dance,ITUNES_STORE_CONTENT,160333.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,552,FALSE,160333.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,Tom Walker,"AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Leave a Light On,Sony Music,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,185922.0,NATURAL_END_OF_TRACK,2021-01-18T13:05:05.610Z,NOT_SPECIFIED,2021-01-18T13:05:06.339Z,2021-01-18T13:01:59.688Z,PLAY_END,siri,Singer/Songwriter,ITUNES_STORE_CONTENT,185922.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,729,FALSE,185922.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,Lauv,"AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Chasing Fire,AWAL Digital Limited,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,205334.0,NATURAL_END_OF_TRACK,2021-01-18T13:01:59.080Z,NOT_SPECIFIED,2021-01-18T13:01:59.632Z,2021-01-18T12:58:33.746Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,205334.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,552,FALSE,205334.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,Jack & Jack,"AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,No One Compares to You,UMG Global,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,182973.0,NATURAL_END_OF_TRACK,2021-01-18T12:58:33.356Z,NOT_SPECIFIED,2021-01-18T12:58:34.129Z,2021-01-18T12:55:30.383Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,182973.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,773,FALSE,182973.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,Justin Bieber,"AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Sorry,UMG Global,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,200852.0,NATURAL_END_OF_TRACK,2021-01-18T12:55:30.465Z,NOT_SPECIFIED,2021-01-18T12:55:31.164Z,2021-01-18T12:52:09.613Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,200852.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,699,FALSE,200852.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,MIKA,"AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Sanremo,UMG Global,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,204103.0,NATURAL_END_OF_TRACK,2021-01-18T12:52:09.901Z,NOT_SPECIFIED,2021-01-18T12:52:10.513Z,2021-01-18T12:48:45.798Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,204103.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,612,FALSE,204103.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,Annika Rose,"AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Fly to You,AWAL Digital Limited,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,227648.0,NATURAL_END_OF_TRACK,2021-01-18T12:48:45.949Z,NOT_SPECIFIED,2021-01-18T12:48:46.694Z,2021-01-18T12:44:58.301Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,227648.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,745,FALSE,227648.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,Katy Perry,"AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Harleys In Hawaii,UMG Global,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,185550.0,NATURAL_END_OF_TRACK,2021-01-18T12:44:58.054Z,NOT_SPECIFIED,2021-01-18T12:44:58.692Z,2021-01-18T12:41:52.504Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,185550.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,638,FALSE,185550.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,"John Legend, Faouzia","AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Minefields,The Warner Music Group,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,190659.0,NATURAL_END_OF_TRACK,2021-01-18T12:41:52.486Z,NOT_SPECIFIED,2021-01-18T12:41:53.126Z,2021-01-18T12:38:41.827Z,PLAY_END,siri,Pop,ITUNES_STORE_CONTENT,190659.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,640,FALSE,190659.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
296982057,TRUE,BENEE,"AirMusic/3.1 iOS/14.4 model/AudioAccessory1,1 hwp/t7000 build/18K5780c (dt:150)",82.37.88.49,Plain (feat. Lily Allen & Flo Milli),UMG Global,Song,a290ae2bbea06b271a6400a8378a6b0d5c225b9a,231967.0,NATURAL_END_OF_TRACK,2021-01-18T12:38:41.914Z,NOT_SPECIFIED,2021-01-18T12:38:42.567Z,2021-01-18T12:34:49.947Z,PLAY_END,siri,Alternative,ITUNES_STORE_CONTENT,231967.0,AUDIO,2528.0,3z2rD5L8zCVVz4SozB0azOvR58GB4,653,FALSE,231967.0,ORIGINATING_DEVICE,0,United Kingdom,0.0
